Title,Fermi,Ticks,Label,HSP,Energy,Edos,Ba$(6s)$,Ba$(5p)$,Ba_tot,Ti$(4s)$,Ti$(3p)$,Ti$(3d)$,Ti_tot,O$(2s)$,O$(2p)$,O_tot,DOS
,,,,1.8044,-22.6256,9.8,0.00219,0.00743,0.00962,0.0000289,0.000194,0.00727,0.00749,0.00129,1.54,1.54,1.59
,,,,1.8287,-22.6276,9.9,0.000841,0.00257,0.00341,0.00000467,0.0000703,0.00316,0.00323,0.00055,1.08,1.08,1.1
,,,,1.853,-22.63,10,0.000342,0.00128,0.00162,0.000000601,0.0000385,0.00123,0.00127,0.000305,0.467,0.468,0.478
,,,,1.8773,-22.6326,10.1,0.000165,0.000609,0.000774,0.000000213,0.0000202,0.000489,0.000509,0.000144,0.408,0.408,0.414
,,,,1.9016,-22.6354,10.2,0,0,0,0,0,0,0,0,0,0,0
,,,,1.9259,-22.6384,10.3,0,0,0,0,0,0,0,0,0,0,0
,,,,1.9503,-22.6415,10.4,0,0,0,0,0,0,0,0,0,0,0
,,,,1.9746,-22.6446,10.5,0,0,0,0,0,0,0,0,0,0,0
,,,,1.9989,-22.6475,10.6,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0232,-22.6504,10.7,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0475,-22.653,10.8,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0718,-22.6553,10.9,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0962,-22.6573,11,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1205,-22.6589,11.1,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1448,-22.6601,11.2,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1691,-22.6608,11.3,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1934,-22.661,11.4,0,0,0,0,0,0,0,0,0,0,0
,,,,2.2184,-22.661,11.5,0,0,0,0,0,0,0,0,0,0,0
,,,,2.2434,-22.6609,11.6,0,0,0,0,0,0,0,0,0,0,0
,,,,2.2684,-22.6608,11.7,0,0,0,0,0,0,0,0,0,0,0
,,,,2.2934,-22.6607,11.8,0,0,0,0,0,0,0,0,0,0,0
,,,,2.3184,-22.6605,11.9,0,0,0,0,0,0,0,0,0,0,0
,,,,2.3434,-22.6603,12,0,0,0,0,0,0,0,0,0,0,0
,,,,2.3684,-22.6601,12.1,0.000000596,0.000000114,0.00000071,0.0000000778,0.0000000848,0.0146,0.0146,0.000000657,0.000151,0.000152,0.0151
